expression,reading,meaning
干す,ほす,"to air, to dry, to drink up"
北極,ほっきょく,North Pole
坊っちゃん,ぼっちゃん,son of others
解く,ほどく,to unfasten
掘る,ほる,"to dig, to excavate"
彫る,ほる,"to carve, to chisel"
ぼろ,ぼろ,"rag, tattered clothes"
盆,ぼん,Festival of the Dead; tray
盆地,ぼんち,"basin e.g., between mountains"
本部,ほんぶ,headquarters
本来,ほんらい,"essentially, naturally, by nature"
まあまあ,まあまあ,okay; so-so; decent
毎,まい,every ~
枚数,まいすう,the number of flat things
毎度,まいど,"each time, common service-sector greeting"
まく,まく,"to wind, to coil, to roll"
枕,まくら,pillow
曲げる,まげる,"to bend, to crook, to lean"
まごまご,まごまご,"confused, be at a loss"
摩擦,まさつ,friction; rubbing; chafe
まざる,まざる,"to be mixed, to be blended with, to associate with"
まじる,まじる,"to be mixed, to be blended with, to associate with"
マスク,マスク,mask
まぜる,まぜる,"to mix, to stir"
またぐ,またぐ,to straddle
跨ぐ,またぐ,"to step over/across, to stride over/across, to cross to stretch over, to span, to bridge, to saddle, to straddle"
待合室,まちあいしつ,waiting room
待ち合わせる,まちあわせる,"to rendezvous, to meet at a prearranged place and time"
街角,まちかど,street corner
真っ暗,まっくら,total darkness
真っ黒,まっくろ,pitch black
真っ青,まっさお,"deep blue, ghastly pale"
真っ先,まっさき,"foremost, beginning"
真っ白,まっしろ,pure white
祭る,まつる,"to deify, to enshrine"
窓口,まどぐち,ticket window
真似る,まねる,"to mimic, to imitate"
まぶた,まぶた,eyelids
間も無く,まもなく,"soon, in a short time"
間もなく,まもなく,"soon, shortly, before long, in a short time, in a little while"
稀,まれ,"rare, seldom"
回り道,まわりみち,detour
満員,まんいん,"full house, no vacancy, sold out"
満点,まんてん,perfect score
未,み,not yet ~
見上げる,みあげる,"to look up at, to admire"
見送る,みおくる,to see off; to escort; to let pass
見下ろす,みおろす,"to overlook, to look down on something"
見掛け,みかけ,outward appearance
三日月,みかづき,crescent moon
岬,みさき,cape on coast
みじめ,みじめ,"sad, pitiful, wretched"
惨めな,みじめな,"miserable, wretched, unhappy, sad, pitiable"
自ら,みずから,"for one's self, personally"
水着,みずぎ,bathing suit woman's
店屋,みせや,"store, shop"
見出し,みだし,"heading, index"
道順,みちじゅん,"itinerary, route"
見詰める,みつめる,"to stare at, to gaze at"
見直す,みなおす,"to look over again, to review"
見慣れる,みなれる,"to become used to seeing, to be familiar with"
醜い,みにくい,ugly
実る,みのる,"to bear fruit, to ripen"
身分,みぶん,"position, status"
見本,みほん,sample
見舞う,みまう,"to ask after health, to visit"
未満,みまん,"less than, insufficient"
名字,みょうじ,"surname, family name"
診る,みる,to examine medically
民間,みんかん,"private, civilian"
民主,みんしゅ,democratic
民謡,みんよう,"folk song, popular song"
無限,むげん,infinite
無地,むじ,plain
蒸し暑い,むしあつい,"humid, sultry"
矛盾,むじゅん,"contradiction, inconsistency"
無数,むすう,"countless number, infinite number"
紫,むらさき,"purple color, violet"
群れ,むれ,"crowd, flock, herd"
姪,めい,niece
名,めい,famous ~
名作,めいさく,masterpiece
名詞,めいし,noun
名刺,めいし,business card
名所,めいしょ,famous place
迷信,めいしん,superstition
命ずる,めいずる,"to command, to appoint"
名物,めいぶつ,"famous product, special product, speciality"
銘々,めいめい,"each, individual"
恵まれる,めぐまれる,"to be blessed with, to be rich in"
巡る,めぐる,to go around
目指す,めざす,"to aim at, to have an eye on"
目覚し,めざまし,alarm-clock
目下,めした,"at present, now"
目印,めじるし,"mark, sign, landmark"
目立つ,めだつ,"to be conspicuous, to stand out"
めちゃくちゃ,めちゃくちゃ,"absurd, messed up, wrecked"
めっきり,めっきり,remarkably
めでたい,めでたい,"happy, propitious, joyous"
めまい,めまい,"dizziness, giddiness"
目安,めやす,"criterion, aim"
免税,めんぜい,tax exemption
面積,めんせき,area
面接,めんせつ,interview
面倒臭い,めんどうくさい,"bother to do, tiresome"
儲かる,もうかる,"to be profitable, to yield a profit"
儲ける,もうける,"to earn, to have bear, beget a child"
申し訳ない,もうしわけない,"inexcusable, I am sorry"
木材,もくざい,"lumber, timber, wood"
目次,もくじ,table of contents
潜る,もぐる,"to dive, to pass through; to evade, to hide"
凭れる,もたれる,"to lean against, to lean on, to recline on"
餅,もち,sticky rice cake
元々,もともと,"originally, by nature, from the start"
物置,ものおき,storage room
物語る,ものがたる,"to tell, to indicate"
物差し,ものさし,"ruler, measure"
物凄い,ものすごい,"earth-shattering, staggering, to a very great extent"
紅葉,もみじ,Japanese maple
揉む,もむ,"to rub, to crumple up, to wrinkle"
もやす,もやす,to burn
催し,もよおし,"event, festivities, function"
盛る,もる,to serve food; to fill up; to prescribe
問答,もんどう,"questions and answers, dialogue"
やかましい,やかましい,"to be fussy, to be overly critical"
喧しい,やかましい,"noisy, loud, clamorous, boisterous"
夜間,やかん,"at night, nighttime"
やかん,やかん,kettle
やかん,やかん,kettle
役者,やくしゃ,actor
役所,やくしょ,"government office, public office"
役人,やくにん,government official
薬品,やくひん,"medicines, chemicals"
役目,やくめ,"duty, business"
火傷,やけど,"burn, scald"
夜行,やこう,"night train, night travel"
矢印,やじるし,directing arrow
やたらに,やたらに,"randomly, recklessly, blindly"
薬局,やっきょく,"pharmacy, drugstore"
やっつける,やっつける,"to attack an enemy, to beat, to finish off"
やっぱり,やっぱり,"after all, anyway"
家主,やぬし,landlord
破く,やぶく,to tear
やむをえない,やむをえない,"cannot be helped, unavoidable"
軟らかい,やわらかい,"soft, tender, limp"
遊園地,ゆうえんち,amusement park
夕刊,ゆうかん,evening paper
友好,ゆうこう,friendship
郵送,ゆうそう,mailing
夕立,ゆうだち,sudden evening shower rain
夕日,ゆうひ,"in the evening sun, setting sun"
悠々,ゆうゆう,"quiet, calm, leisurely"
有料,ゆうりょう,"admission-paid, toll"
浴衣,ゆかた,"bathrobe, informal summer kimono"
行方,ゆくえ,one's whereabouts
湯気,ゆげ,steam
輸血,ゆけつ,blood transfusion
輸送,ゆそう,"transport, transportation"
油断,ゆだん,"negligence, unpreparedness"
湯飲み,ゆのみ,teacup
湯飲,ゆのみ,teacup
緩い,ゆるい,"loose, lenient, slow"
溶岩,ようがん,lava
容器,ようき,"container, receptacle, vessel, packaging"
用語,ようご,"term, terminology"
要旨,ようし,"gist, essentials, summary"
幼児,ようじ,"infant, baby, child"
容積,ようせき,"capacity, volume"
幼稚,ようち,"infancy, childish, infantile"
幼稚園,ようちえん,kindergarten
用途,ようと,"use, usefulness"
洋品店,ようひんてん,clothes store
養分,ようぶん,"nourishment, nutrient"
羊毛,ようもう,wool
漸く,ようやく,"at last, finally, hardly"
要領,ようりょう,"gist, essentials, outline"
翌,よく,next ~
欲張り,よくばり,greedy
余計,よけい,"too much, unnecessary, abundance, surplus, excess, superfluity"
寄せる,よせる,"to come near, to let someone approach to bring near, to bring together, to collect, to gather to deliver opinion, news, etc., to send e.g. a letter, to contribute, to donate to let someone drop by"
余所,よそ,"another place, somewhere else, strange parts"
四つ角,よつかど,"four corners, crossroads"
酔っ払い,よっぱらい,drunkard
予備,よび,"preparation, spare"
呼び掛ける,よびかける,"to call out to, to accost, to address crowd, to appeal"
呼び出す,よびだす,"to summon, to call e.g., phone"
蘇る,よみがえる,"to be resurrected, to be revived"
慶ぶ,よろこぶ,"to be delighted, to be glad"
来日,らいにち,"coming to Japan, visit to Japan"
落第,らくだい,"failure, dropping out of a class"
欄,らん,"column of text e.g., as in a newspaper"
乱暴,らんぼう,"rude, violent, rough"
理科,りか,science
利害,りがい,"advantages and disadvantages, interest"
略す,りゃくす,to abbreviate
流域,りゅういき,river basin
寮,りょう,"hostel, dormitory"
両,りょう,both ~
両側,りょうがわ,both sides
漁師,りょうし,fisherman
領事,りょうじ,consul
領収,りょうしゅう,"receipt, voucher"
臨時,りんじ,"temporary, special, extraordinary"
留守番,るすばん,"care-taking, caretaker, house-watching"
例外,れいがい,exception
零点,れいてん,"zero, no marks"
冷凍,れいとう,"freezing, cold storage, refrigeration"
列島,れっとう,chain of islands
煉瓦,れんが,brick
連合,れんごう,"union, alliance"
録音,ろくおん,audio recording
論ずる,ろんずる,"to argue, to discuss"
和,わ,Japanese style
和英,わえい,Japanese-English
我,わが,our ~
分かれる,わかれる,"to branch, to fork, to diverge to separate, to split, to divide to disperse, to scatter"
若々しい,わかわかしい,"youthful, young"
詫びる,わびる,to apologize
和服,わふく,Japanese clothes
割合に,わりあいに,"relatively, comparatively"
割算,わりざん,division math
割と,わりと,"relatively, comparatively"
割引,わりびき,discount
